@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,122,0,122,0,1,1,0.5,1,0.5,0.666667,1,1,0
1,121,1,122,0,1,0.991803,0.497942,0.991803,0.502058,0.663014,0.995902,0.995885,0
2,121,1,121,1,0.991803,0.991803,0.5,0.991803,0.5,0.664835,0.991803,1,0
3,121,1,120,2,0.983607,0.991803,0.502075,0.991803,0.497925,0.666667,0.987705,1.004149,0.000008
4,121,1,119,3,0.97541,0.991803,0.504167,0.991803,0.495833,0.668508,0.983607,1.008333,0.000158
5,121,1,118,4,0.967213,0.991803,0.506276,0.991803,0.493724,0.67036,0.979508,1.012552,0.00046
6,120,2,118,4,0.967213,0.983607,0.504202,0.983607,0.495798,0.666667,0.97541,1.008403,0.00062
7,116,6,112,10,0.918033,0.95082,0.508772,0.95082,0.491228,0.662857,0.934426,1.017544,0.000626
8,116,6,111,11,0.909836,0.95082,0.511013,0.95082,0.488987,0.664756,0.930328,1.022026,0.000648
9,116,6,110,12,0.901639,0.95082,0.513274,0.95082,0.486726,0.666667,0.92623,1.026549,0.001591
10,114,8,101,21,0.827869,0.934426,0.530233,0.934426,0.469767,0.676558,0.881148,1.060465,0.001748
11,111,11,94,28,0.770492,0.909836,0.541463,0.909836,0.458537,0.678899,0.840164,1.082927,0.001802
12,106,16,85,37,0.696721,0.868852,0.554974,0.868852,0.445026,0.677316,0.782787,1.109948,0.001865
13,106,16,84,38,0.688525,0.868852,0.557895,0.868852,0.442105,0.679487,0.778689,1.115789,0.001908
14,106,16,83,39,0.680328,0.868852,0.560847,0.868852,0.439153,0.681672,0.77459,1.121693,0.001958
15,106,16,82,40,0.672131,0.868852,0.56383,0.868852,0.43617,0.683871,0.770492,1.12766,0.002064
16,103,19,73,49,0.598361,0.844262,0.585227,0.844262,0.414773,0.691275,0.721311,1.170455,0.00217
17,103,19,72,50,0.590164,0.844262,0.588571,0.844262,0.411429,0.693603,0.717213,1.177143,0.002222
18,99,23,63,59,0.516393,0.811475,0.611111,0.811475,0.388889,0.697183,0.663934,1.222222,0.002256
19,99,23,62,60,0.508197,0.811475,0.614907,0.811475,0.385093,0.699647,0.659836,1.229814,0.002269
20,98,24,62,60,0.508197,0.803279,0.6125,0.803279,0.3875,0.695035,0.655738,1.225,0.002466
21,96,26,52,70,0.42623,0.786885,0.648649,0.786885,0.351351,0.711111,0.606557,1.297297,0.002501
22,94,28,46,76,0.377049,0.770492,0.671429,0.770492,0.328571,0.717557,0.57377,1.342857,0.002522
23,93,29,46,76,0.377049,0.762295,0.669065,0.762295,0.330935,0.712644,0.569672,1.338129,0.002778
24,91,31,36,86,0.295082,0.745902,0.716535,0.745902,0.283465,0.730924,0.520492,1.433071,0.002783
25,90,32,36,86,0.295082,0.737705,0.714286,0.737705,0.285714,0.725806,0.516393,1.428571,0.003002
26,86,36,27,95,0.221311,0.704918,0.761062,0.704918,0.238938,0.731915,0.463115,1.522124,0.003151
27,85,37,26,96,0.213115,0.696721,0.765766,0.696721,0.234234,0.729614,0.454918,1.531532,0.00317
28,85,37,23,99,0.188525,0.696721,0.787037,0.696721,0.212963,0.73913,0.442623,1.574074,0.003219
29,85,37,22,100,0.180328,0.696721,0.794393,0.696721,0.205607,0.742358,0.438525,1.588785,0.003284
30,84,38,22,100,0.180328,0.688525,0.792453,0.688525,0.207547,0.736842,0.434426,1.584906,0.003633
31,84,38,21,101,0.172131,0.688525,0.8,0.688525,0.2,0.740088,0.430328,1.6,0.003891
32,84,38,20,102,0.163934,0.688525,0.807692,0.688525,0.192308,0.743363,0.42623,1.615385,0.004129
33,84,38,19,103,0.155738,0.688525,0.815534,0.688525,0.184466,0.746667,0.422131,1.631068,0.004514
34,83,39,19,103,0.155738,0.680328,0.813725,0.680328,0.186275,0.741071,0.418033,1.627451,0.006085
35,82,40,19,103,0.155738,0.672131,0.811881,0.672131,0.188119,0.735426,0.413934,1.623762,0.006758
36,81,41,19,103,0.155738,0.663934,0.81,0.663934,0.19,0.72973,0.409836,1.62,0.006873
37,80,42,19,103,0.155738,0.655738,0.808081,0.655738,0.191919,0.723982,0.405738,1.616162,0.006978
38,80,42,18,104,0.147541,0.655738,0.816327,0.655738,0.183673,0.727273,0.401639,1.632653,0.00765
39,79,43,18,104,0.147541,0.647541,0.814433,0.647541,0.185567,0.721461,0.397541,1.628866,0.007728
40,78,44,18,104,0.147541,0.639344,0.8125,0.639344,0.1875,0.715596,0.393443,1.625,0.009106
41,78,44,17,105,0.139344,0.639344,0.821053,0.639344,0.178947,0.718894,0.389344,1.642105,0.010432
42,77,45,17,105,0.139344,0.631148,0.819149,0.631148,0.180851,0.712963,0.385246,1.638298,0.011923
43,77,45,16,106,0.131148,0.631148,0.827957,0.631148,0.172043,0.716279,0.381148,1.655914,0.01278
44,76,46,16,106,0.131148,0.622951,0.826087,0.622951,0.173913,0.71028,0.377049,1.652174,0.013263
45,75,47,16,106,0.131148,0.614754,0.824176,0.614754,0.175824,0.704225,0.372951,1.648352,0.029361
46,74,48,16,106,0.131148,0.606557,0.822222,0.606557,0.177778,0.698113,0.368852,1.644444,0.029823
47,74,48,15,107,0.122951,0.606557,0.831461,0.606557,0.168539,0.701422,0.364754,1.662921,0.036771
48,73,49,15,107,0.122951,0.598361,0.829545,0.598361,0.170455,0.695238,0.360656,1.659091,0.045272
49,73,49,14,108,0.114754,0.598361,0.83908,0.598361,0.16092,0.698565,0.356557,1.678161,0.049852
50,73,49,13,109,0.106557,0.598361,0.848837,0.598361,0.151163,0.701923,0.352459,1.697674,0.052765
51,72,50,13,109,0.106557,0.590164,0.847059,0.590164,0.152941,0.695652,0.348361,1.694118,0.057791
52,72,50,12,110,0.098361,0.590164,0.857143,0.590164,0.142857,0.699029,0.344262,1.714286,0.070158
53,71,51,12,110,0.098361,0.581967,0.855422,0.581967,0.144578,0.692683,0.340164,1.710843,0.073177
54,70,52,12,110,0.098361,0.57377,0.853659,0.57377,0.146341,0.686275,0.336066,1.707317,0.076505
55,69,53,12,110,0.098361,0.565574,0.851852,0.565574,0.148148,0.679803,0.331967,1.703704,0.078174
56,68,54,12,110,0.098361,0.557377,0.85,0.557377,0.15,0.673267,0.327869,1.7,0.080361
57,67,55,11,111,0.090164,0.54918,0.858974,0.54918,0.141026,0.67,0.319672,1.717949,0.112743
58,66,56,11,111,0.090164,0.540984,0.857143,0.540984,0.142857,0.663317,0.315574,1.714286,0.115787
59,65,57,11,111,0.090164,0.532787,0.855263,0.532787,0.144737,0.656566,0.311475,1.710526,0.1472
60,64,58,11,111,0.090164,0.52459,0.853333,0.52459,0.146667,0.649746,0.307377,1.706667,0.174401
61,63,59,11,111,0.090164,0.516393,0.851351,0.516393,0.148649,0.642857,0.303279,1.702703,0.190438
62,62,60,11,111,0.090164,0.508197,0.849315,0.508197,0.150685,0.635897,0.29918,1.69863,0.206769
63,61,61,11,111,0.090164,0.5,0.847222,0.5,0.152778,0.628866,0.295082,1.694444,0.214913
64,60,62,11,111,0.090164,0.491803,0.84507,0.491803,0.15493,0.621762,0.290984,1.690141,0.283359
65,59,63,11,111,0.090164,0.483607,0.842857,0.483607,0.157143,0.614583,0.286885,1.685714,0.411524
66,58,64,11,111,0.090164,0.47541,0.84058,0.47541,0.15942,0.60733,0.282787,1.681159,0.449733
67,57,65,11,111,0.090164,0.467213,0.838235,0.467213,0.161765,0.6,0.278689,1.676471,0.689638
68,56,66,11,111,0.090164,0.459016,0.835821,0.459016,0.164179,0.592593,0.27459,1.671642,0.754116
69,55,67,11,111,0.090164,0.45082,0.833333,0.45082,0.166667,0.585106,0.270492,1.666667,0.783321
70,54,68,11,111,0.090164,0.442623,0.830769,0.442623,0.169231,0.57754,0.266393,1.661538,0.804272
71,53,69,11,111,0.090164,0.434426,0.828125,0.434426,0.171875,0.569892,0.262295,1.65625,0.819974
72,52,70,11,111,0.090164,0.42623,0.825397,0.42623,0.174603,0.562162,0.258197,1.650794,0.869671
73,51,71,11,111,0.090164,0.418033,0.822581,0.418033,0.177419,0.554348,0.254098,1.645161,0.902714
74,50,72,11,111,0.090164,0.409836,0.819672,0.409836,0.180328,0.546448,0.25,1.639344,0.904753
75,50,72,10,112,0.081967,0.409836,0.833333,0.409836,0.166667,0.549451,0.245902,1.666667,0.950276
76,49,73,10,112,0.081967,0.401639,0.830508,0.401639,0.169492,0.541436,0.241803,1.661017,0.966837
77,48,74,10,112,0.081967,0.393443,0.827586,0.393443,0.172414,0.533333,0.237705,1.655172,0.976239
78,47,75,10,112,0.081967,0.385246,0.824561,0.385246,0.175439,0.52514,0.233607,1.649123,0.977072
79,46,76,10,112,0.081967,0.377049,0.821429,0.377049,0.178571,0.516854,0.229508,1.642857,0.978948
80,45,77,10,112,0.081967,0.368852,0.818182,0.368852,0.181818,0.508475,0.22541,1.636364,0.981606
81,44,78,10,112,0.081967,0.360656,0.814815,0.360656,0.185185,0.5,0.221311,1.62963,0.983674
82,43,79,10,112,0.081967,0.352459,0.811321,0.352459,0.188679,0.491429,0.217213,1.622642,0.984839
83,43,79,9,113,0.07377,0.352459,0.826923,0.352459,0.173077,0.494253,0.213115,1.653846,0.9878
84,42,80,9,113,0.07377,0.344262,0.823529,0.344262,0.176471,0.485549,0.209016,1.647059,0.989617
85,41,81,9,113,0.07377,0.336066,0.82,0.336066,0.18,0.476744,0.204918,1.64,0.990307
86,41,81,8,114,0.065574,0.336066,0.836735,0.336066,0.163265,0.479532,0.20082,1.673469,0.990715
87,40,82,8,114,0.065574,0.327869,0.833333,0.327869,0.166667,0.470588,0.196721,1.666667,0.991835
