@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,122,0,122,0,1,1,0.5,1,0.5,0.666667,1,1,0.040466
1,122,0,121,1,0.991803,1,0.502058,1,0.497942,0.668493,0.995902,1.004115,0.078726
2,122,0,120,2,0.983607,1,0.504132,1,0.495868,0.67033,0.991803,1.008264,0.20864
3,122,0,119,3,0.97541,1,0.506224,1,0.493776,0.672176,0.987705,1.012448,0.249134
4,121,1,119,3,0.97541,0.991803,0.504167,0.991803,0.495833,0.668508,0.983607,1.008333,0.263524
5,120,2,119,3,0.97541,0.983607,0.502092,0.983607,0.497908,0.66482,0.979508,1.004184,0.275542
6,120,2,118,4,0.967213,0.983607,0.504202,0.983607,0.495798,0.666667,0.97541,1.008403,0.277979
7,120,2,117,5,0.959016,0.983607,0.506329,0.983607,0.493671,0.668524,0.971311,1.012658,0.278892
8,120,2,116,6,0.95082,0.983607,0.508475,0.983607,0.491525,0.670391,0.967213,1.016949,0.283101
9,120,2,115,7,0.942623,0.983607,0.510638,0.983607,0.489362,0.672269,0.963115,1.021277,0.283101
10,120,2,114,8,0.934426,0.983607,0.512821,0.983607,0.487179,0.674157,0.959016,1.025641,0.283101
11,120,2,113,9,0.92623,0.983607,0.515021,0.983607,0.484979,0.676056,0.954918,1.030043,0.283102
12,120,2,112,10,0.918033,0.983607,0.517241,0.983607,0.482759,0.677966,0.95082,1.034483,0.283103
13,120,2,111,11,0.909836,0.983607,0.519481,0.983607,0.480519,0.679887,0.946721,1.038961,0.283103
14,120,2,110,12,0.901639,0.983607,0.521739,0.983607,0.478261,0.681818,0.942623,1.043478,0.283103
15,119,3,110,12,0.901639,0.97541,0.519651,0.97541,0.480349,0.678063,0.938525,1.039301,0.283104
16,119,3,109,13,0.893443,0.97541,0.52193,0.97541,0.47807,0.68,0.934426,1.04386,0.283104
17,116,6,106,16,0.868852,0.95082,0.522523,0.95082,0.477477,0.674419,0.909836,1.045045,0.284168
18,115,7,106,16,0.868852,0.942623,0.520362,0.942623,0.479638,0.670554,0.905738,1.040724,0.286738
19,115,7,105,17,0.860656,0.942623,0.522727,0.942623,0.477273,0.672515,0.901639,1.045455,0.286762
20,114,8,105,17,0.860656,0.934426,0.520548,0.934426,0.479452,0.668622,0.897541,1.041096,0.286765
21,113,9,105,17,0.860656,0.92623,0.518349,0.92623,0.481651,0.664706,0.893443,1.036697,0.286766
22,113,9,104,18,0.852459,0.92623,0.520737,0.92623,0.479263,0.666667,0.889344,1.041475,0.286767
23,112,10,103,19,0.844262,0.918033,0.52093,0.918033,0.47907,0.664688,0.881148,1.04186,0.286767
24,112,10,102,20,0.836066,0.918033,0.523364,0.918033,0.476636,0.666667,0.877049,1.046729,0.286767
25,112,10,101,21,0.827869,0.918033,0.525822,0.918033,0.474178,0.668657,0.872951,1.051643,0.286768
26,112,10,100,22,0.819672,0.918033,0.528302,0.918033,0.471698,0.670659,0.868852,1.056604,0.286768
