@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,228,0,299,0,1,1,0.432638,1,0.567362,0.603974,1,1,0
1,226,2,299,0,1,0.991228,0.430476,0.991228,0.569524,0.600266,0.996205,0.995004,0
2,226,2,298,1,0.996656,0.991228,0.431298,0.991228,0.568702,0.601064,0.994307,0.996903,0
3,226,2,297,2,0.993311,0.991228,0.432122,0.991228,0.567878,0.601864,0.99241,0.998809,0
4,226,2,296,3,0.989967,0.991228,0.43295,0.991228,0.56705,0.602667,0.990512,1.000723,0
5,225,3,296,3,0.989967,0.986842,0.431862,0.986842,0.568138,0.600801,0.988615,0.998207,0
6,225,3,295,4,0.986622,0.986842,0.432692,0.986842,0.567308,0.601604,0.986717,1.000127,0
7,225,3,294,5,0.983278,0.986842,0.433526,0.986842,0.566474,0.60241,0.98482,1.002054,0
8,225,3,293,6,0.979933,0.986842,0.434363,0.986842,0.565637,0.603217,0.982922,1.003988,0
9,225,3,292,7,0.976589,0.986842,0.435203,0.986842,0.564797,0.604027,0.981025,1.00593,0
10,225,3,291,8,0.973244,0.986842,0.436047,0.986842,0.563953,0.604839,0.979127,1.007879,0
11,225,3,290,9,0.9699,0.986842,0.436893,0.986842,0.563107,0.605653,0.97723,1.009836,0
12,225,3,289,10,0.966555,0.986842,0.437743,0.986842,0.562257,0.606469,0.975332,1.011801,0
13,225,3,288,11,0.963211,0.986842,0.438596,0.986842,0.561404,0.607287,0.973435,1.013773,0
14,225,3,287,12,0.959866,0.986842,0.439453,0.986842,0.560547,0.608108,0.971537,1.015753,0
15,225,3,286,13,0.956522,0.986842,0.440313,0.986842,0.559687,0.608931,0.969639,1.017741,0
16,225,3,285,14,0.953177,0.986842,0.441176,0.986842,0.558824,0.609756,0.967742,1.019737,0
17,225,3,284,15,0.949833,0.986842,0.442043,0.986842,0.557957,0.610583,0.965844,1.02174,0
18,225,3,283,16,0.946488,0.986842,0.442913,0.986842,0.557087,0.611413,0.963947,1.023752,0
19,225,3,282,17,0.943144,0.986842,0.443787,0.986842,0.556213,0.612245,0.962049,1.025771,0
20,225,3,281,18,0.939799,0.986842,0.444664,0.986842,0.555336,0.613079,0.960152,1.027798,0
21,225,3,280,19,0.936455,0.986842,0.445545,0.986842,0.554455,0.613915,0.958254,1.029833,0
22,225,3,279,20,0.93311,0.986842,0.446429,0.986842,0.553571,0.614754,0.956357,1.031877,0
23,225,3,278,21,0.929766,0.986842,0.447316,0.986842,0.552684,0.615595,0.954459,1.033928,0
24,225,3,277,22,0.926421,0.986842,0.448207,0.986842,0.551793,0.616438,0.952562,1.035988,0
25,225,3,276,23,0.923077,0.986842,0.449102,0.986842,0.550898,0.617284,0.950664,1.038055,0
26,225,3,275,24,0.919732,0.986842,0.45,0.986842,0.55,0.618132,0.948767,1.040132,0
27,225,3,274,25,0.916388,0.986842,0.450902,0.986842,0.549098,0.618982,0.946869,1.042216,0
28,225,3,273,26,0.913043,0.986842,0.451807,0.986842,0.548193,0.619835,0.944972,1.044309,0
29,225,3,272,27,0.909699,0.986842,0.452716,0.986842,0.547284,0.62069,0.943074,1.04641,0
30,225,3,271,28,0.906355,0.986842,0.453629,0.986842,0.546371,0.621547,0.941176,1.04852,0
31,225,3,270,29,0.90301,0.986842,0.454545,0.986842,0.545455,0.622407,0.939279,1.050638,0
32,225,3,269,30,0.899666,0.986842,0.455466,0.986842,0.544534,0.623269,0.937381,1.052765,0
33,225,3,268,31,0.896321,0.986842,0.456389,0.986842,0.543611,0.624133,0.935484,1.0549,0
34,225,3,267,32,0.892977,0.986842,0.457317,0.986842,0.542683,0.625,0.933586,1.057044,0
35,225,3,266,33,0.889632,0.986842,0.458248,0.986842,0.541752,0.625869,0.931689,1.059197,0
36,225,3,265,34,0.886288,0.986842,0.459184,0.986842,0.540816,0.626741,0.929791,1.061359,0
37,225,3,264,35,0.882943,0.986842,0.460123,0.986842,0.539877,0.627615,0.927894,1.063529,0
38,225,3,263,36,0.879599,0.986842,0.461066,0.986842,0.538934,0.628492,0.925996,1.065709,0
39,225,3,262,37,0.876254,0.986842,0.462012,0.986842,0.537988,0.629371,0.924099,1.067897,0
40,224,4,262,37,0.876254,0.982456,0.460905,0.982456,0.539095,0.627451,0.922201,1.065338,0
41,224,4,261,38,0.87291,0.982456,0.461856,0.982456,0.538144,0.628331,0.920304,1.067535,0
42,224,4,260,39,0.869565,0.982456,0.46281,0.982456,0.53719,0.629213,0.918406,1.06974,0
43,223,5,260,39,0.869565,0.97807,0.461698,0.97807,0.538302,0.627286,0.916509,1.06717,0
44,223,5,259,40,0.866221,0.97807,0.462656,0.97807,0.537344,0.628169,0.914611,1.069384,0
45,223,5,258,41,0.862876,0.97807,0.463617,0.97807,0.536383,0.629055,0.912713,1.071607,0
46,223,5,257,42,0.859532,0.97807,0.464583,0.97807,0.535417,0.629944,0.910816,1.07384,0
47,223,5,256,43,0.856187,0.97807,0.465553,0.97807,0.534447,0.630835,0.908918,1.076081,0
48,222,6,256,43,0.856187,0.973684,0.464435,0.973684,0.535565,0.628895,0.907021,1.073497,0
49,222,6,255,44,0.852843,0.973684,0.465409,0.973684,0.534591,0.629787,0.905123,1.075748,0
50,222,6,254,45,0.849498,0.973684,0.466387,0.973684,0.533613,0.630682,0.903226,1.078008,0
51,222,6,253,46,0.846154,0.973684,0.467368,0.973684,0.532632,0.631579,0.901328,1.080277,0
52,222,6,252,47,0.842809,0.973684,0.468354,0.973684,0.531646,0.632479,0.899431,1.082556,0
53,222,6,251,48,0.839465,0.973684,0.469345,0.973684,0.530655,0.633381,0.897533,1.084845,0
54,222,6,250,49,0.83612,0.973684,0.470339,0.973684,0.529661,0.634286,0.895636,1.087143,0
55,222,6,249,50,0.832776,0.973684,0.471338,0.973684,0.528662,0.635193,0.893738,1.089451,0
56,222,6,248,51,0.829431,0.973684,0.47234,0.973684,0.52766,0.636103,0.891841,1.091769,0
57,221,7,248,51,0.829431,0.969298,0.471215,0.969298,0.528785,0.634146,0.889943,1.089169,0
58,221,7,247,52,0.826087,0.969298,0.472222,0.969298,0.527778,0.635057,0.888046,1.091496,0
59,221,7,246,53,0.822742,0.969298,0.473233,0.969298,0.526767,0.635971,0.886148,1.093833,0
60,221,7,245,54,0.819398,0.969298,0.474249,0.969298,0.525751,0.636888,0.88425,1.096181,0
61,221,7,244,55,0.816054,0.969298,0.475269,0.969298,0.524731,0.637807,0.882353,1.098538,0
62,221,7,243,56,0.812709,0.969298,0.476293,0.969298,0.523707,0.638728,0.880455,1.100906,0
63,221,7,242,57,0.809365,0.969298,0.477322,0.969298,0.522678,0.639653,0.878558,1.103283,0
64,221,7,241,58,0.80602,0.969298,0.478355,0.969298,0.521645,0.64058,0.87666,1.105671,0
65,221,7,240,59,0.802676,0.969298,0.479393,0.969298,0.520607,0.641509,0.874763,1.10807,0
66,221,7,239,60,0.799331,0.969298,0.480435,0.969298,0.519565,0.642442,0.872865,1.110479,0
67,221,7,238,61,0.795987,0.969298,0.481481,0.969298,0.518519,0.643377,0.870968,1.112898,0
68,221,7,237,62,0.792642,0.969298,0.482533,0.969298,0.517467,0.644315,0.86907,1.115328,0
69,221,7,236,63,0.789298,0.969298,0.483589,0.969298,0.516411,0.645255,0.867173,1.117768,0
70,221,7,235,64,0.785953,0.969298,0.484649,0.969298,0.515351,0.646199,0.865275,1.12022,0
71,220,8,235,64,0.785953,0.964912,0.483516,0.964912,0.516484,0.644217,0.863378,1.117602,0
72,219,9,235,64,0.785953,0.960526,0.482379,0.960526,0.517621,0.642229,0.86148,1.114972,0
73,219,9,234,65,0.782609,0.960526,0.483444,0.960526,0.516556,0.643172,0.859583,1.117433,0
74,219,9,233,66,0.779264,0.960526,0.484513,0.960526,0.515487,0.644118,0.857685,1.119906,0
75,219,9,232,67,0.77592,0.960526,0.485588,0.960526,0.514412,0.645066,0.855787,1.122389,0
76,218,10,232,67,0.77592,0.95614,0.484444,0.95614,0.515556,0.643068,0.85389,1.119747,0
77,218,10,231,68,0.772575,0.95614,0.485523,0.95614,0.514477,0.644018,0.851992,1.12224,0
78,218,10,230,69,0.769231,0.95614,0.486607,0.95614,0.513393,0.64497,0.850095,1.124745,0
79,218,10,229,70,0.765886,0.95614,0.487696,0.95614,0.512304,0.645926,0.848197,1.127262,0
80,218,10,228,71,0.762542,0.95614,0.488789,0.95614,0.511211,0.646884,0.8463,1.129789,0
81,217,11,228,71,0.762542,0.951754,0.48764,0.951754,0.51236,0.644874,0.844402,1.127134,0
82,217,11,227,72,0.759197,0.951754,0.488739,0.951754,0.511261,0.645833,0.842505,1.129672,0
83,217,11,226,73,0.755853,0.951754,0.489842,0.951754,0.510158,0.646796,0.840607,1.132222,0
84,217,11,225,74,0.752508,0.951754,0.49095,0.951754,0.50905,0.647761,0.83871,1.134784,0
85,217,11,224,75,0.749164,0.951754,0.492063,0.951754,0.507937,0.648729,0.836812,1.137357,0
86,216,12,224,75,0.749164,0.947368,0.490909,0.947368,0.509091,0.646707,0.834915,1.134689,0
87,216,12,223,76,0.745819,0.947368,0.492027,0.947368,0.507973,0.647676,0.833017,1.137274,0
88,216,12,222,77,0.742475,0.947368,0.493151,0.947368,0.506849,0.648649,0.83112,1.13987,0
89,216,12,221,78,0.73913,0.947368,0.494279,0.947368,0.505721,0.649624,0.829222,1.142479,0
90,216,12,220,79,0.735786,0.947368,0.495413,0.947368,0.504587,0.650602,0.827324,1.145099,0
91,216,12,219,80,0.732441,0.947368,0.496552,0.947368,0.503448,0.651584,0.825427,1.147731,0
92,216,12,218,81,0.729097,0.947368,0.497696,0.947368,0.502304,0.652568,0.823529,1.150376,0
93,216,12,217,82,0.725753,0.947368,0.498845,0.947368,0.501155,0.653555,0.821632,1.153033,0
94,215,13,217,82,0.725753,0.942982,0.497685,0.942982,0.502315,0.651515,0.819734,1.150351,0
95,215,13,216,83,0.722408,0.942982,0.49884,0.942982,0.50116,0.652504,0.817837,1.15302,0
96,215,13,215,84,0.719064,0.942982,0.5,0.942982,0.5,0.653495,0.815939,1.155702,0
97,215,13,214,85,0.715719,0.942982,0.501166,0.942982,0.498834,0.65449,0.814042,1.158396,0
98,215,13,213,86,0.712375,0.942982,0.502336,0.942982,0.497664,0.655488,0.812144,1.161102,0
99,215,13,212,87,0.70903,0.942982,0.503513,0.942982,0.496487,0.656489,0.810247,1.163821,0
