@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,228,0,299,0,1,1,0.432638,1,0.567362,0.603974,1,1,0
1,228,0,298,1,0.996656,1,0.43346,1,0.56654,0.604775,0.998102,1.001901,0
2,228,0,297,2,0.993311,1,0.434286,1,0.565714,0.605578,0.996205,1.00381,0
3,228,0,296,3,0.989967,1,0.435115,1,0.564885,0.606383,0.994307,1.005725,0.000001
4,228,0,295,4,0.986622,1,0.435946,1,0.564054,0.60719,0.99241,1.007648,0.000006
5,228,0,294,5,0.983278,1,0.436782,1,0.563218,0.608,0.990512,1.009579,0.000008
6,228,0,293,6,0.979933,1,0.43762,1,0.56238,0.608812,0.988615,1.011516,0.000017
7,228,0,292,7,0.976589,1,0.438462,1,0.561538,0.609626,0.986717,1.013462,0.000026
8,227,1,292,7,0.976589,0.995614,0.43738,0.995614,0.56262,0.607764,0.98482,1.010961,0.000029
9,227,1,291,8,0.973244,0.995614,0.438224,0.995614,0.561776,0.608579,0.982922,1.012912,0.000042
10,227,1,290,9,0.9699,0.995614,0.439072,0.995614,0.560928,0.609396,0.981025,1.014872,0.000042
11,226,2,290,9,0.9699,0.991228,0.437984,0.991228,0.562016,0.607527,0.979127,1.012359,0.000045
12,226,2,289,10,0.966555,0.991228,0.438835,0.991228,0.561165,0.608345,0.97723,1.014325,0.000053
13,226,2,288,11,0.963211,0.991228,0.439689,0.991228,0.560311,0.609164,0.975332,1.016298,0.000068
14,226,2,287,12,0.959866,0.991228,0.440546,0.991228,0.559454,0.609987,0.973435,1.018279,0.000077
15,226,2,286,13,0.956522,0.991228,0.441406,0.991228,0.558594,0.610811,0.971537,1.020268,0.000077
16,226,2,285,14,0.953177,0.991228,0.44227,0.991228,0.55773,0.611637,0.969639,1.022265,0.000086
17,226,2,284,15,0.949833,0.991228,0.443137,0.991228,0.556863,0.612466,0.967742,1.024269,0.000087
18,226,2,283,16,0.946488,0.991228,0.444008,0.991228,0.555992,0.613297,0.965844,1.026281,0.000099
19,226,2,282,17,0.943144,0.991228,0.444882,0.991228,0.555118,0.61413,0.963947,1.028302,0.000112
20,226,2,281,18,0.939799,0.991228,0.445759,0.991228,0.554241,0.614966,0.962049,1.03033,0.000145
21,226,2,280,19,0.936455,0.991228,0.44664,0.991228,0.55336,0.615804,0.960152,1.032366,0.000157
22,226,2,279,20,0.93311,0.991228,0.447525,0.991228,0.552475,0.616644,0.958254,1.03441,0.000162
23,226,2,278,21,0.929766,0.991228,0.448413,0.991228,0.551587,0.617486,0.956357,1.036463,0.000165
24,226,2,277,22,0.926421,0.991228,0.449304,0.991228,0.550696,0.618331,0.954459,1.038523,0.000278
