@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,122,0,122,0,1,1,0.5,1,0.5,0.666667,1,1,0
1,122,0,121,1,0.991803,1,0.502058,1,0.497942,0.668493,0.995902,1.004115,0
2,122,0,120,2,0.983607,1,0.504132,1,0.495868,0.67033,0.991803,1.008264,0
3,122,0,119,3,0.97541,1,0.506224,1,0.493776,0.672176,0.987705,1.012448,0
4,122,0,118,4,0.967213,1,0.508333,1,0.491667,0.674033,0.983607,1.016667,0
5,122,0,117,5,0.959016,1,0.51046,1,0.48954,0.6759,0.979508,1.020921,0
6,122,0,116,6,0.95082,1,0.512605,1,0.487395,0.677778,0.97541,1.02521,0
7,122,0,115,7,0.942623,1,0.514768,1,0.485232,0.679666,0.971311,1.029536,0.000003
8,121,1,115,7,0.942623,0.991803,0.512712,0.991803,0.487288,0.675978,0.967213,1.025424,0.000032
9,121,1,114,8,0.934426,0.991803,0.514894,0.991803,0.485106,0.677871,0.963115,1.029787,0.000141
10,121,1,113,9,0.92623,0.991803,0.517094,0.991803,0.482906,0.679775,0.959016,1.034188,0.000369
11,121,1,112,10,0.918033,0.991803,0.519313,0.991803,0.480687,0.68169,0.954918,1.038627,0.011286
12,120,2,112,10,0.918033,0.983607,0.517241,0.983607,0.482759,0.677966,0.95082,1.034483,0.012555
13,120,2,111,11,0.909836,0.983607,0.519481,0.983607,0.480519,0.679887,0.946721,1.038961,0.034391
14,119,3,111,11,0.909836,0.97541,0.517391,0.97541,0.482609,0.676136,0.942623,1.034783,0.078394
15,119,3,110,12,0.901639,0.97541,0.519651,0.97541,0.480349,0.678063,0.938525,1.039301,0.106968
16,118,4,110,12,0.901639,0.967213,0.517544,0.967213,0.482456,0.674286,0.934426,1.035088,0.14054
17,117,5,110,12,0.901639,0.959016,0.515419,0.959016,0.484581,0.670487,0.930328,1.030837,0.146055
18,116,6,110,12,0.901639,0.95082,0.513274,0.95082,0.486726,0.666667,0.92623,1.026549,0.179955
19,116,6,109,13,0.893443,0.95082,0.515556,0.95082,0.484444,0.668588,0.922131,1.031111,0.182439
20,116,6,108,14,0.885246,0.95082,0.517857,0.95082,0.482143,0.67052,0.918033,1.035714,0.187749
21,116,6,107,15,0.877049,0.95082,0.520179,0.95082,0.479821,0.672464,0.913934,1.040359,0.19793
22,116,6,106,16,0.868852,0.95082,0.522523,0.95082,0.477477,0.674419,0.909836,1.045045,0.20423
23,116,6,105,17,0.860656,0.95082,0.524887,0.95082,0.475113,0.676385,0.905738,1.049774,0.212148
24,116,6,104,18,0.852459,0.95082,0.527273,0.95082,0.472727,0.678363,0.901639,1.054545,0.215512
25,116,6,103,19,0.844262,0.95082,0.52968,0.95082,0.47032,0.680352,0.897541,1.059361,0.215513
26,116,6,101,21,0.827869,0.95082,0.534562,0.95082,0.465438,0.684366,0.889344,1.069124,0.224363
27,116,6,100,22,0.819672,0.95082,0.537037,0.95082,0.462963,0.686391,0.885246,1.074074,0.230404
28,116,6,99,23,0.811475,0.95082,0.539535,0.95082,0.460465,0.688427,0.881148,1.07907,0.239937
29,116,6,98,24,0.803279,0.95082,0.542056,0.95082,0.457944,0.690476,0.877049,1.084112,0.239938
30,116,6,97,25,0.795082,0.95082,0.544601,0.95082,0.455399,0.692537,0.872951,1.089202,0.239946
31,115,7,97,25,0.795082,0.942623,0.542453,0.942623,0.457547,0.688623,0.868852,1.084906,0.239952
32,114,8,97,25,0.795082,0.934426,0.540284,0.934426,0.459716,0.684685,0.864754,1.080569,0.239953
33,112,10,93,29,0.762295,0.918033,0.546341,0.918033,0.453659,0.685015,0.840164,1.092683,0.242336
34,112,10,92,30,0.754098,0.918033,0.54902,0.918033,0.45098,0.687117,0.836066,1.098039,0.242476
35,111,11,92,30,0.754098,0.909836,0.546798,0.909836,0.453202,0.683077,0.831967,1.093596,0.242491
36,110,12,92,30,0.754098,0.901639,0.544554,0.901639,0.455446,0.679012,0.827869,1.089109,0.242499
37,110,12,91,31,0.745902,0.901639,0.547264,0.901639,0.452736,0.681115,0.82377,1.094527,0.242504
38,109,13,90,32,0.737705,0.893443,0.547739,0.893443,0.452261,0.679128,0.815574,1.095477,0.242505
