@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,122,0,122,0,1,1,0.5,1,0.5,0.666667,1,1,0.000308
1,122,0,121,1,0.991803,1,0.502058,1,0.497942,0.668493,0.995902,1.004115,0.002522
2,122,0,120,2,0.983607,1,0.504132,1,0.495868,0.67033,0.991803,1.008264,0.007206
3,122,0,119,3,0.97541,1,0.506224,1,0.493776,0.672176,0.987705,1.012448,0.032051
4,122,0,118,4,0.967213,1,0.508333,1,0.491667,0.674033,0.983607,1.016667,0.060631
5,121,1,118,4,0.967213,0.991803,0.506276,0.991803,0.493724,0.67036,0.979508,1.012552,0.162607
6,121,1,117,5,0.959016,0.991803,0.508403,0.991803,0.491597,0.672222,0.97541,1.016807,0.184076
7,120,2,117,5,0.959016,0.983607,0.506329,0.983607,0.493671,0.668524,0.971311,1.012658,0.208978
8,120,2,116,6,0.95082,0.983607,0.508475,0.983607,0.491525,0.670391,0.967213,1.016949,0.208979
9,120,2,115,7,0.942623,0.983607,0.510638,0.983607,0.489362,0.672269,0.963115,1.021277,0.208979
10,120,2,114,8,0.934426,0.983607,0.512821,0.983607,0.487179,0.674157,0.959016,1.025641,0.20898
11,120,2,113,9,0.92623,0.983607,0.515021,0.983607,0.484979,0.676056,0.954918,1.030043,0.208982
12,120,2,112,10,0.918033,0.983607,0.517241,0.983607,0.482759,0.677966,0.95082,1.034483,0.208982
13,119,3,112,10,0.918033,0.97541,0.515152,0.97541,0.484848,0.674221,0.946721,1.030303,0.208983
14,119,3,111,11,0.909836,0.97541,0.517391,0.97541,0.482609,0.676136,0.942623,1.034783,0.208983
15,116,6,108,14,0.885246,0.95082,0.517857,0.95082,0.482143,0.67052,0.918033,1.035714,0.210065
