TOKEN_COUNT,VERB_COUNT,UPPERCASE_LETTER_COUNT,SPECIFICITY_OCCURRENCE,nlr-no-var,range,NON_ALPHA_SPACE_COUNT,SUPPORT_NUMBER_OF_PAIRS_LEARNED_FROM,maxlearnedfrom,generalized,LEVENSHTEIN,pos,NNP_COUNT,nlr-var,TF_IDF_IDF,GOOD_PLACE_DOMAIN,CHARACTER_COUNT,TF_IDF_TFIDF,nlr-gen,TYPICITY_SENTENCES,TYPICITY_CORRECT_DOMAIN_NUMBER,DIGIT_COUNT,SPECIFICITY,boa-score,POS_REGEX_2,POS_REGEX_1,SINGLE_NOUN,learnedfrom,uri,SUPPORT_NUMBER_OF_MAX_PAIRS_LEARNED_FROM,TOTAL_OCCURRENCE,TYPICITY_CORRECT_RANGE_NUMBER,REVERB,TF_IDF_TF,GOOD_PLACE_RANGE,domain,POS_REGEX_3,WORDNET_DISTANCE,AVERAGE_TOKEN_LENGHT,TYPICITY,POSSESSIVE
2.0,0.0,0.0,1.0,'s 1952,http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,POS CD,0.0,?D? 's 1952 ?R?,0.6931471805599453,0.0,7.0,11.347308391423844,?D? 's _YEAR_ ?R?,4.61512051684126,0.06,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,5.337538079701318,0.27,0.0,16.3707055437449,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.7614948852788079,1.0
2.0,0.0,0.0,1.0,'s 1962,http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,POS CD,0.0,?D? 's 1962 ?R?,0.6931471805599453,0.0,7.0,11.763097721622565,?D? 's _YEAR_ ?R?,4.61512051684126,0.08,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,5.8377304471659395,0.19,0.0,16.97056274847714,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.6230412697735701,1.0
2.0,0.0,0.0,1.0,'s 1973,http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,POS CD,0.0,?D? 's 1973 ?R?,0.6931471805599453,0.0,7.0,14.035160694002137,?D? 's _YEAR_ ?R?,4.605170185988092,0.06060606060606061,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,6.4425401664681985,0.2727272727272727,0.0,20.248456731316587,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.7675283643313486,1.0
2.0,0.0,0.0,1.0,'s 1988,http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,POS CD,0.0,?D? 's 1988 ?R?,0.6931471805599453,0.0,7.0,14.85018294124535,?D? 's _YEAR_ ?R?,4.605170185988092,0.050505050505050504,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,6.63200177739563,0.15151515151515152,0.0,21.42428528562855,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.4651687056553628,1.0
2.0,0.0,0.0,1.0,'s 1989,http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,POS CD,0.0,?D? 's 1989 ?R?,0.6931471805599453,0.0,7.0,13.582855272165324,?D? 's _YEAR_ ?R?,4.61512051684126,0.02,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,6.61472560020376,0.23,0.0,19.595917942265423,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.5768900646051575,1.0
2.0,0.0,0.0,1.0,'s 2007,http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,POS CD,0.0,?D? 's 2007 ?R?,0.6931471805599453,0.0,7.0,7.034675574152282,?D? 's _YEAR_ ?R?,4.605170185988092,0.050505050505050504,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,7.843848638152472,0.0707070707070707,0.0,10.14889156509222,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.2791012233932177,1.0
2.0,0.0,0.0,2.0,'s 2010,http://dbpedia.org/ontology/Person,5.0,1.0,2,,0.0,POS CD,0.0,?D? 's 2010 ?R?,0.6931471805599453,0.0,7.0,6.648434197649437,?D? 's _YEAR_ ?R?,4.61512051684126,0.05,4.0,2.321928094887362,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.5849625007211563,7.853993087224244,0.14,0.0,9.591663046625438,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.0,0.4384364490999197,1.0
8.0,1.0,2.0,1.0,", Minot , and Murphy shared the 1934",http://dbpedia.org/ontology/Person,6.0,1.0,1,shared,0.5,", NNP , CC NNP VBD DT CD",2.0,"?D? , Minot , and Murphy shared the 1934 ?R?",5.375278407684165,0.0,36.0,115.08323989304138,"?D? , _NE_ , and _NE_ shared the _YEAR_ ?R?",0.6931471805599453,0.0,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,0.6931471805599453,0.0,0.2993200633453998,21.409726374084272,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.625,0.0,0.0
8.0,1.0,2.0,2.0,", Salam , and Weinberg shared the 1979",http://dbpedia.org/ontology/Person,6.0,1.0,2,shared,0.5,", NNP , CC NNP VBD DT CD",2.0,"?D? , Salam , and Weinberg shared the 1979 ?R?",5.2574953720277815,0.0,38.0,162.0246115735524,"?D? , _NE_ , and _NE_ shared the _YEAR_ ?R?",1.0986122886681098,0.0,4.0,2.321928094887362,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.5849625007211563,1.0986122886681098,0.0,0.2993200633453998,30.81783246745124,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,3.875,0.0,0.0
2.0,0.0,0.0,1.0,", 1980",http://dbpedia.org/ontology/Person,5.0,1.0,1,,0.0,", CD",0.0,"?D? , 1980 ?R?",0.6931471805599453,0.0,6.0,16.077428945201166,"?D? , _YEAR_ ?R?",4.59511985013459,0.24489795918367346,4.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/award,1.0,9.666688690398917,0.0,0.0,23.194827009486403,0.0,http://dbpedia.org/ontology/Award,0.0,0.0,2.5,0.5626677367511742,0.0
