TOKEN_COUNT,VERB_COUNT,UPPERCASE_LETTER_COUNT,SPECIFICITY_OCCURRENCE,nlr-no-var,range,NON_ALPHA_SPACE_COUNT,SUPPORT_NUMBER_OF_PAIRS_LEARNED_FROM,maxlearnedfrom,generalized,LEVENSHTEIN,pos,NNP_COUNT,nlr-var,TF_IDF_IDF,GOOD_PLACE_DOMAIN,CHARACTER_COUNT,TF_IDF_TFIDF,nlr-gen,TYPICITY_SENTENCES,TYPICITY_CORRECT_DOMAIN_NUMBER,DIGIT_COUNT,SPECIFICITY,boa-score,POS_REGEX_2,POS_REGEX_1,SINGLE_NOUN,learnedfrom,uri,SUPPORT_NUMBER_OF_MAX_PAIRS_LEARNED_FROM,TOTAL_OCCURRENCE,TYPICITY_CORRECT_RANGE_NUMBER,REVERB,TF_IDF_TF,GOOD_PLACE_RANGE,domain,POS_REGEX_3,WORDNET_DISTANCE,AVERAGE_TOKEN_LENGHT,TYPICITY,POSSESSIVE
5.0,0.0,0.0,2.0,"'s head of state ,",http://dbpedia.org/ontology/PopulatedPlace,2.0,1.0,2,,0.5,"POS NN IN NN ,",0.0,"?D? 's head of state , ?R?",1.791759469228055,0.0,18.0,40.14493002269229,?D? 's head of state ?R?,4.1588830833596715,0.36507936507936506,0.0,2.321928094887362,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/leaderName,1.5849625007211563,4.276666119016055,0.3333333333333333,0.0,22.40531204782077,0.0,http://dbpedia.org/ontology/Person,0.0,0.20575199586173365,2.8,1.4523083783160757,1.0
4.0,0.0,0.0,2.0,'s head of state,http://dbpedia.org/ontology/PopulatedPlace,1.0,1.0,2,,0.5,POS NN IN NN,0.0,?D? 's head of state ?R?,1.791759469228055,0.0,16.0,40.14493002269229,?D? 's head of state ?R?,4.605170185988092,0.23232323232323232,0.0,2.321928094887362,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/leaderName,1.5849625007211563,5.541263545158426,0.26262626262626265,0.0,22.40531204782077,0.0,http://dbpedia.org/ontology/Person,0.0,0.20575199586173365,3.25,1.139663328855639,1.0
2.0,0.0,0.0,3.0,'s leader,http://dbpedia.org/ontology/PopulatedPlace,1.0,1.5849625007211563,2,,1.0,POS NN,0.0,?D? 's leader ?R?,1.0986122886681098,0.0,9.0,16.405780025991017,?D? 's leader ?R?,4.605170185988092,0.3333333333333333,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/leaderName,1.5849625007211563,8.021912778985708,0.0707070707070707,0.0,14.933184523068078,0.0,http://dbpedia.org/ontology/Person,0.0,1.0,4.0,0.9303374113107256,1.0
3.0,0.0,0.0,5.0,"'s president ,",http://dbpedia.org/ontology/PopulatedPlace,2.0,2.584962500721156,1,,0.3333333134651184,"POS NN ,",0.0,"?D? 's president , ?R?",1.0986122886681098,0.0,14.0,18.383299731754445,?D? 's president ?R?,4.61512051684126,0.35,0.0,1.0,0.0,0.0,0.0,0.0,5,http://dbpedia.org/ontology/leaderName,1.0,7.274479558773871,0.06,0.0,16.73320053068151,0.0,http://dbpedia.org/ontology/Person,0.0,0.7557379040983334,4.0,0.9460997059524582,1.0
2.0,0.0,0.0,14.0,'s president,http://dbpedia.org/ontology/PopulatedPlace,1.0,3.5849625007211565,3,,0.3333333134651184,POS NN,0.0,?D? 's president ?R?,1.0986122886681098,0.0,12.0,18.383299731754445,?D? 's president ?R?,4.584967478670572,0.30927835051546393,0.0,0.0,0.0,0.0,0.0,0.0,11,http://dbpedia.org/ontology/leaderName,2.0,8.710949125835855,0.010309278350515464,0.0,16.73320053068151,0.0,http://dbpedia.org/ontology/Person,0.0,0.7557379040983334,5.5,0.7326494424679781,1.0
2.0,0.0,0.0,8.0,", currently",http://dbpedia.org/ontology/PopulatedPlace,1.0,3.0,2,,0.1111111044883728,", RB",0.0,"?D? , currently ?R?",1.0986122886681098,0.0,11.0,7.204082544983853,"?D? , currently ?R?",4.605170185988092,0.2222222222222222,0.0,0.32192809488736235,0.0,0.0,0.0,0.0,7,http://dbpedia.org/ontology/leaderName,1.5849625007211563,9.690727406601606,0.16161616161616163,0.0,6.557438524302,0.0,http://dbpedia.org/ontology/Person,0.0,0.0,5.0,0.8838205407451895,0.0
2.0,1.0,0.0,37.0,", including",http://dbpedia.org/ontology/PopulatedPlace,1.0,2.807354922057604,2,,0.1111111044883728,", VBG",0.0,"?D? , including ?R?",1.0986122886681098,0.0,11.0,24.34362215774345,"?D? , including ?R?",4.605170185988092,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.0,6,http://dbpedia.org/ontology/leaderName,1.5849625007211563,13.379817143546724,0.050505050505050504,0.0,22.15851980616034,0.0,http://dbpedia.org/ontology/Person,0.0,0.0,5.0,0.2325843528276814,0.0
8.0,1.0,2.0,11.0,", represented at the House of Commons by",http://dbpedia.org/ontology/PopulatedPlace,1.0,1.5849625007211563,10,represented at,0.19999998807907104,", VBD IN DT NNP IN NNPS IN",2.0,"?D? , represented at the House of Commons by ?R?",3.58351893845611,0.0,40.0,74.04738641134416,"?D? , represented at the _NE_ of _NE_ by ?R?",1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/leaderName,3.4594316186372978,2.772588722239781,0.0,0.59133302065286,20.663316612258804,0.0,http://dbpedia.org/ontology/Person,0.0,0.43328401102584413,4.125,0.0,0.0
4.0,1.0,0.0,3.0,", where he met",http://dbpedia.org/ontology/PopulatedPlace,1.0,1.5849625007211563,2,met,0.25,", WRB PRP VBD",0.0,"?D? , where he met ?R?",1.0986122886681098,0.0,14.0,106.49936698844827,"?D? , where _PP_ met ?R?",4.61512051684126,0.18,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/leaderName,1.5849625007211563,8.058010800802085,0.02,0.5457779646771761,96.93990144381289,0.0,http://dbpedia.org/ontology/Person,0.0,0.28138279536539845,2.75,0.46151205168412596,0.0
6.0,1.0,3.0,12.0,"North , and the MP is",http://dbpedia.org/ontology/PopulatedPlace,1.0,1.0,12,is,0.0,"NNP , CC DT NNP VBZ",2.0,"?D? North , and the MP is ?R?",1.791759469228055,0.0,21.0,29.70554201088917,"?D? _NE_ , and the _NE_ _BE_ ?R?",0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/leaderName,3.700439718141092,2.5649493574615367,0.0,0.5236062400890548,16.578978663741754,0.0,http://dbpedia.org/ontology/Person,0.0,0.26760315205129437,2.6666666666666665,0.0,0.0
