TOKEN_COUNT,VERB_COUNT,UPPERCASE_LETTER_COUNT,SPECIFICITY_OCCURRENCE,nlr-no-var,range,NON_ALPHA_SPACE_COUNT,SUPPORT_NUMBER_OF_PAIRS_LEARNED_FROM,maxlearnedfrom,generalized,LEVENSHTEIN,pos,NNP_COUNT,nlr-var,TF_IDF_IDF,GOOD_PLACE_DOMAIN,CHARACTER_COUNT,TF_IDF_TFIDF,nlr-gen,TYPICITY_SENTENCES,TYPICITY_CORRECT_DOMAIN_NUMBER,DIGIT_COUNT,SPECIFICITY,boa-score,POS_REGEX_2,POS_REGEX_1,SINGLE_NOUN,learnedfrom,uri,SUPPORT_NUMBER_OF_MAX_PAIRS_LEARNED_FROM,TOTAL_OCCURRENCE,TYPICITY_CORRECT_RANGE_NUMBER,REVERB,TF_IDF_TF,GOOD_PLACE_RANGE,domain,POS_REGEX_3,WORDNET_DISTANCE,AVERAGE_TOKEN_LENGHT,TYPICITY,POSSESSIVE
4.0,1.0,0.0,3.0,"'' , also starring",http://dbpedia.org/ontology/Work,3.0,1.5849625007211563,2,,1.0,"'' , RB VBG",0.0,"?D? '' , also starring ?R?",1.3862943611198906,0.0,18.0,52.116678504071295,"?D? , also starring ?R?",4.61512051684126,0.56,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/starring,1.5849625007211563,5.111987788356544,0.06,0.0,37.59423681271405,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,3.75,1.4306873602207908,0.0
8.0,2.0,2.0,1.0,"'' , directed by Agnès Merlet and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by Agnès Merlet and starring ?R?",4.564348191467836,0.0,42.0,261.85661583831796,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,0.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,1.0,0.0,57.36999125697906,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.375,0.34657359027997264,0.0
8.0,2.0,2.0,1.0,"'' , directed by Anthony Mann and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by Anthony Mann and starring ?R?",3.58351893845611,0.0,42.0,230.16501064054754,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,1.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,0.0,0.0,64.22876914938524,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.375,0.34657359027997264,0.0
8.0,2.0,2.0,1.0,"'' , directed by George Marshall and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by George Marshall and starring ?R?",3.1780538303479458,0.0,45.0,225.54966670760615,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,0.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,0.0,0.0,70.97100261606082,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.75,0.0,0.0
8.0,2.0,2.0,1.0,"'' , directed by George Seaton and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by George Seaton and starring ?R?",3.8712010109078907,0.0,43.0,264.6564043408926,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,0.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,0.0,0.0,68.36545134059682,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.5,0.0,0.0
8.0,2.0,2.0,1.0,"'' , directed by George Sherman and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by George Sherman and starring ?R?",3.1780538303479458,0.0,44.0,221.19737506691345,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,0.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,0.0,0.0,69.6015193180966,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.625,0.0,0.0
8.0,2.0,3.0,1.0,"'' , directed by Gregory LaCava and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by Gregory LaCava and starring ?R?",4.276666119016055,0.0,44.0,251.4004170842237,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,1.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,0.0,0.0,58.78420481935216,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.625,0.34657359027997264,0.0
8.0,2.0,2.0,3.0,"'' , directed by Jan Kounen and starring",http://dbpedia.org/ontology/Work,3.0,1.0,3,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by Jan Kounen and starring ?R?",4.276666119016055,0.0,40.0,422.0034353214445,"?D? , directed by _NE_ and starring ?R?",1.3862943611198906,0.6666666666666666,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,2.0,1.3862943611198906,0.0,0.0,98.67579642119362,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.125,0.46209812037329684,0.0
8.0,2.0,2.0,1.0,"'' , directed by John Huston and starring",http://dbpedia.org/ontology/Work,3.0,1.0,1,,1.0,"'' , VBN IN NNP NNP CC VBG",2.0,"?D? '' , directed by John Huston and starring ?R?",3.8712010109078907,0.0,41.0,299.2378021411509,"?D? , directed by _NE_ and starring ?R?",1.0986122886681098,0.5,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,1.0986122886681098,0.0,0.0,77.2984407934354,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.25,0.27465307216702745,0.0
9.0,2.0,3.0,1.0,"'' , directed by Joseph L. Mankiewicz and starring",http://dbpedia.org/ontology/Work,4.0,1.0,1,,1.0,"'' , VBN IN NNP NNP NNP CC VBG",3.0,"?D? '' , directed by Joseph L. Mankiewicz and starring ?R?",4.969813299576001,0.0,50.0,359.8526362758064,"?D? , directed by _NE_ and starring ?R?",0.6931471805599453,1.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/starring,1.0,0.6931471805599453,0.0,0.0,72.40767702611831,0.0,http://dbpedia.org/ontology/Actor,0.0,1.0,4.666666666666667,0.34657359027997264,0.0
