TOKEN_COUNT,VERB_COUNT,UPPERCASE_LETTER_COUNT,SPECIFICITY_OCCURRENCE,nlr-no-var,range,NON_ALPHA_SPACE_COUNT,SUPPORT_NUMBER_OF_PAIRS_LEARNED_FROM,maxlearnedfrom,generalized,LEVENSHTEIN,pos,NNP_COUNT,nlr-var,TF_IDF_IDF,GOOD_PLACE_DOMAIN,CHARACTER_COUNT,TF_IDF_TFIDF,nlr-gen,TYPICITY_SENTENCES,TYPICITY_CORRECT_DOMAIN_NUMBER,DIGIT_COUNT,SPECIFICITY,boa-score,POS_REGEX_2,POS_REGEX_1,SINGLE_NOUN,learnedfrom,uri,SUPPORT_NUMBER_OF_MAX_PAIRS_LEARNED_FROM,TOTAL_OCCURRENCE,TYPICITY_CORRECT_RANGE_NUMBER,REVERB,TF_IDF_TF,GOOD_PLACE_RANGE,domain,POS_REGEX_3,WORDNET_DISTANCE,AVERAGE_TOKEN_LENGHT,TYPICITY,POSSESSIVE
4.0,0.0,1.0,1.0,"'s India subsidiary ,",http://dbpedia.org/ontology/Company,2.0,1.0,1,,1.0,"POS NNP NN ,",1.0,"?D? 's India subsidiary , ?R?",2.4849066497880004,0.0,21.0,30.318380682460703,?D? 's _NE_ subsidiary ?R?,0.6931471805599453,1.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/subsidiary,1.0,0.6931471805599453,0.0,0.0,12.201013943540822,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,4.5,0.34657359027997264,1.0
4.0,0.0,1.0,1.0,"'s Indian subsidiary ,",http://dbpedia.org/ontology/Company,2.0,1.0,1,,1.0,"POS JJ NN ,",0.0,"?D? 's Indian subsidiary , ?R?",2.4849066497880004,0.0,22.0,29.153368037672845,?D? 's _NE_ subsidiary ?R?,1.0986122886681098,0.5,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/subsidiary,1.0,1.0986122886681098,0.0,0.0,11.732178365798998,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,4.75,0.27465307216702745,1.0
3.0,0.0,1.0,3.0,'s Indian subsidiary,http://dbpedia.org/ontology/Company,1.0,1.5849625007211563,2,,1.0,POS JJ NN,0.0,?D? 's Indian subsidiary ?R?,2.4849066497880004,0.0,20.0,29.153368037672845,?D? 's _NE_ subsidiary ?R?,2.5649493574615367,0.6666666666666666,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/subsidiary,1.5849625007211563,2.5649493574615367,0.3333333333333333,0.0,11.732178365798998,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,6.0,1.2824746787307684,1.0
4.0,0.0,2.0,1.0,"'s UK subsidiary ,",http://dbpedia.org/ontology/Company,2.0,1.0,1,,1.0,"POS NNP NN ,",1.0,"?D? 's UK subsidiary , ?R?",2.4849066497880004,0.0,18.0,21.290094639012974,?D? 's _NE_ subsidiary ?R?,1.3862943611198906,0.3333333333333333,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/subsidiary,1.0,1.3862943611198906,0.3333333333333333,0.0,8.567764362830022,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,3.75,0.46209812037329684,1.0
4.0,0.0,2.0,1.0,"'s US-based subsidiary ,",http://dbpedia.org/ontology/Company,3.0,1.0,1,,1.0,"POS JJ NN ,",0.0,"?D? 's US-based subsidiary , ?R?",2.772588722239781,0.0,24.0,19.358153254345268,?D? 's _NE_ subsidiary ?R?,0.6931471805599453,1.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/subsidiary,1.0,0.6931471805599453,0.0,0.0,6.981977925203116,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,5.25,0.34657359027997264,1.0
3.0,0.0,0.0,1.0,"'s acquisition ,",http://dbpedia.org/ontology/Company,2.0,1.0,1,,0.27272725105285645,"POS NN ,",0.0,"?D? 's acquisition , ?R?",1.791759469228055,0.0,16.0,3.58351893845611,?D? 's acquisition ?R?,3.970291913552122,0.38461538461538464,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/subsidiary,1.0,3.9889840465642745,0.5384615384615384,0.0,2.0,0.0,http://dbpedia.org/ontology/Company,0.0,0.0,4.666666666666667,1.832442421639441,1.0
2.0,0.0,0.0,4.0,'s acquisition,http://dbpedia.org/ontology/Company,1.0,2.0,2,,0.27272725105285645,POS NN,0.0,?D? 's acquisition ?R?,1.791759469228055,0.0,14.0,3.58351893845611,?D? 's acquisition ?R?,4.605170185988092,0.41414141414141414,0.0,1.3219280948873624,0.0,0.0,0.0,0.0,3,http://dbpedia.org/ontology/subsidiary,1.5849625007211563,7.366445148327599,0.3939393939393939,0.0,2.0,0.0,http://dbpedia.org/ontology/Company,0.0,0.0,6.5,1.8606748226214511,1.0
3.0,0.0,0.0,9.0,'s acquisition of,http://dbpedia.org/ontology/Company,1.0,3.1699250014423126,2,,0.27272725105285645,POS NN IN,0.0,?D? 's acquisition of ?R?,1.791759469228055,0.0,17.0,3.58351893845611,?D? 's acquisition of ?R?,4.61512051684126,0.5,0.0,0.15200309344505006,0.0,0.0,0.0,0.0,8,http://dbpedia.org/ontology/subsidiary,1.5849625007211563,7.057897937411856,0.41,0.0,2.0,0.0,http://dbpedia.org/ontology/Company,0.0,0.0,5.0,2.0998798351627728,1.0
3.0,0.0,0.0,2.0,"'s subsidiary ,",http://dbpedia.org/ontology/Company,2.0,1.5849625007211563,1,,1.0,"POS NN ,",0.0,"?D? 's subsidiary , ?R?",1.3862943611198906,0.0,15.0,7.718560340235539,?D? 's subsidiary ?R?,4.584967478670572,0.5876288659793815,0.0,2.321928094887362,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/subsidiary,1.0,4.912654885736052,0.7938144329896907,0.0,5.5677643628300215,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,4.333333333333333,3.1669362997002923,1.0
2.0,0.0,0.0,14.0,'s subsidiary,http://dbpedia.org/ontology/Company,1.0,3.1699250014423126,7,,1.0,POS NN,0.0,?D? 's subsidiary ?R?,1.3862943611198906,0.0,13.0,7.718560340235539,?D? 's subsidiary ?R?,4.59511985013459,0.5816326530612245,0.0,0.0,0.0,0.0,0.0,0.0,8,http://dbpedia.org/ontology/subsidiary,3.0,6.5337888379333435,0.6224489795918368,0.0,5.5677643628300215,0.0,http://dbpedia.org/ontology/Company,0.0,1.0,6.0,2.7664497056932733,1.0
